scene,item,bgimg,charimg,message,option,note,template,music,sc_name
,團長家,團長房間_夜.jpg,,,,,,,
5-1,旁白,團長房間_夜.jpg,,"整件事都太奇怪了。▼
明明所有人都說沒有買，我們還在那邊忙著湊錢什麼的，真是傻了。
記得之前學校有做過宣導，我的直覺告訴我，這很可能是詐騙。▼
雖然找老師應該可以解決，但我們的網拍帳號就要遭殃了。
我決定找大家一起來找線索。▼",,,,,*$(#&@($&
5-1-1,,團長房間_夜.jpg,line_511.gif,,,"團長: 各位，我覺得這件事情越想越奇怪今晚能不能來我家一起討論？真相只有一個！🧐
 
小辛: 👍
 
阿哲: 在下的推理魂正熊熊燃燒！😆
 
子柔: 唉，好吧，既然是為了解決問題，那我就勉為其難一次。😒
 
阿高: 啊，抱歉啊，今晚我有籃球訓練，不能參加了，你們加油喔！🏀
 
團長: 沒關係阿高，我們會把事情解決的！謝謝大家願意幫忙！🙏
 
小辛: 🤐
 
阿哲: 傳送中……👋
 
子柔: 到時候見。👋▼
",msg_page.html,,
5-1-2,,團長房間_夜.jpg,,,,,,,
5-1-3,,團長房間_夜.jpg,,團長:我的手機、電腦都在這裡了，大家看一下有沒有什麼線索。▼,,,,,
5-1-4,,團長房間_夜.jpg,子柔.png,子柔:所以是真的有收到貨嗎？▼,,,,,
5-1-5,,團長房間_夜.jpg,阿哲.png,在下剛剛確認過了，簡訊應該是真的，貨也在便利店，這部分應該假不了。▼,,,,,
5-1-6,,團長房間_夜.jpg,小辛.png,小辛:這封E-mail感覺怪怪的。▼,,,,,
5-1-7,旁白,團長房間_夜.jpg,,我們所有人湊過去檢查這封E-mail。▼,,,,,
5-1-8,Email,團長房間_夜.jpg,mail_212.jpg,,,"親愛的顧客您好: 
  
感謝您使用我們的網購平台進行購物。我們很高興通知您，您的訂單（訂單編號:03124841 ）已經完成處理，並已運送至指定的超商門市。您的包裹已經等待您的取貨。 
  
取貨門市資訊如下: 
  
超商名稱:浦雷便利商店  
門市地址:網擎市 玩轉區 和平路 12號  
門市電話:02-2131-4141 
  
請您務必攜帶您的身分證明文件以及提供取貨編碼，以便在門市進行取貨。為確保您的包裹安全，請在收到本通知後的7天內前往取貨。逾期未取，您的包裹將被退回，並且需要負擔法律責任。 
  
若有任何問題或需要協助，請隨時透過網站上的客服功能與我們聯繫，或撥打客服專線:0800-123-456。我們將竭誠為您服務。 
  
再次感謝您選擇我們的網購平台，期待為您提供更多的購物體驗。祝您生活愉快！ 
  
蟹拚網購平台 
客戶服務團隊▼ 
",msg_page.html,,
5-1-9,,團長房間_夜.jpg,,大家七嘴八舌提供意見。▼,"子柔:他都寄E-mail給你了，要不要直接回信問問看是不是搞錯了？=>5-2-1
阿哲:這裡有客服，遇到狀況先打給客服是基本！=>5-3-1
小辛:這裡有訂單編號，你有登入蟹拚確認訂單嗎？=>5-5-1
團長:訂單編號有超連結可以點，按下去就知道了。=>5-7-1",,option.html,,
5-2-1,旁白,團長房間_夜.jpg,,我們寄E-mail過去之後，很快便收到回覆:▼,,,,,
5-2-2,,團長房間_夜.jpg,mail_224.jpg,,,"親愛的顧客您好
 
這裡是0487666號客服，感謝您的來信詢問。
您的訂單確定成立並且已經快要過期，請您盡快前往取件。
 
請注意，若您在取貨期限內未完成取貨，將會留下不良記錄，可能因此取消帳號。此外您將需要承擔相關的法律責任。包括但不限於支付違約金、負擔商品退回運費等。

為了避免這些情況發生，我們強烈建議您在取貨期限內完成取件。
若您有任何疑問或需要協助，請隨時聯繫我們的客服團隊。我們將竭誠為您服務。
 
祝您生活愉快！
 
蟹拚網購平台
客戶服務團隊▼",msg_page.html,,
5-2-3,旁白,團長房間_夜.jpg,,大家面面相覷。▼,,,,,
