scene,item,bgimg,charimg,message,option,note,template,music,sc_name
,,黑幕,,,,任何選項都會再繞回3-1A一次，之後接3-6,,,
3-1,旁白,黑幕,,覺得這件事情靠我一個人已經搞不定了，我得找個人來幫忙才行。▼,,,,,只能靠朋友了！
3-1-1,,黑幕,,"我該找誰呢:
（團長最多只能找兩位網拍幫的朋友幫忙。）","子柔 =>3-2
阿高 =>3-3
阿哲 =>3-4
小辛 =>3-5 ",,option.html,,
3-2,,學校教室-夕.jpg,,,,,,,
3-2-1,團長子柔對話,學校教室-夕.jpg,,團長:子柔～救命啊～我真的很苦惱，那個8000元的包裹怎麼辦呢？我怎麼想都湊不出那麼多錢。 ▼,,,,,
3-2-2,團長子柔對話,學校教室-夕.jpg,子柔.png,"子柔:嗯……我想，我們可以找我補習班的那個學長幫忙，他似乎很懂這些事情。 
子柔:他是補習班的助教，聽說功課很好，人也長得不錯……不錯聰明！▼
團長:可是我們都不認識他耶，你跟他很熟嗎？我覺得有點危險。 
團長:還是你去問問看老師可不可以幫忙？你不是跟老師很好嗎？ ▼
",,,,,
3-2-2-1,團長子柔對話,學校教室-夕.jpg,子柔生氣.png,"子柔怒目圓睜。▼
",,,,,
3-2-2-2,團長子柔對話,學校教室-夕.jpg,子柔.png,"子柔:那怎麼可以！如果讓老師知道我都在看漫畫，老師一定會跟我爸媽講，我爸媽一定會氣死！ ▼
團長:我想說你跟老師關係那麼好，只要你去跟老師拜託，老師應該會幫忙……▼
子柔:你問我建議，我給你建議，你又不相信。那你為什麼要問我呢？我不管了，你自己去解決吧！▼
團長:幹嘛開口閉口都是學長啊，你喜歡他喔？ ▼
子柔:不想管你們了啦，我要去看書，沒空啦！！！▼",,,,,
3-2-3,團長子柔對話,學校教室-夕.jpg,,"對話進入這種狀況，我看是無解了，還是去找別人吧。
但我覺得，子柔一定喜歡人家▼",(3-1-1),"(跳回接3-1-1，就不能夠再選子柔)
(若已經選了兩個角色對話，則跳到 3-6)",,,
3-3,,操場-夕.jpg,,,,,,,
3-3-1,旁白,操場-夕.jpg,阿高.png,"鐘聲響起，我走到操場找到阿高，他正在板凳旁邊休息。
我跟他碰了碰拳頭。▼",,,,下課.mp3,
3-3-2,團長阿高對話,操場-夕.jpg,阿高.png,"團長:阿高，我～頭～好～痛～ 
團長:搞不好那個包裹就是個詐騙，要不要放著不管算了～▼
阿高:好啊，去坐牢的話記得告訴我牢飯好不好吃。▼",,,,,
3-3-3,團長阿高對話,操場-夕.jpg,阿高.png,哭啊！▼,,,,,
3-3-4,團長阿高對話,操場-夕.jpg,阿高.png,,,,,,
3-3-5,團長阿高對話,操場-夕.jpg,阿高.png,"阿高:我昨天一知道這件事情，就去問了我的球友。▼
阿高一臉認真地開口。▼ 
喔？我好意外！▼
阿高:我們可以去路上募捐發票，他們說募捐就是為了幫助有需要的人，而我們現在有需要對吧？▼
團長:阿高，募捐是為了幫助真正需要的人，這是違法的……▼
阿高:是喔！那……慈善組織會幫助有困難的人。我們現在遇到困難，跟慈善組織說，他們應該會來幫我們！▼
團長:就像我剛剛說的，慈善組織是為了幫助真正需要的人。我們幾個可能只是買錯東西的傻瓜。▼",,,,,
