scene,item,bgimg,charimg,message,option,note,template,music,sc_name
2-1-1,旁白,團長房間_夜.jpg,,回家後，例行性地打開信箱看一下，發現了一封未讀的電子郵件▼,,團長家,,,
2-1-2,,團長房間_夜.jpg,mail_212.jpg,,,"圖片中 Mail 的示意圖內容 ↓↓
親愛的顧客您好:
 
感謝您使用我們的網購平台進行購物。我們很高興通知您，您的訂單（訂單編號:03124841 ）已經完成處理，並已運送至指定的超商門市。您的包裹已經等待您的取貨。
 
取貨門市資訊如下:
 
超商名稱:浦雷便利商店 
門市地址:網擎市 玩轉區 和平路 12號 
門市電話:02-2131-4141
 
請您務必攜帶您的身分證明文件以及提供取貨編碼，以便在門市進行取貨。為確保您的包裹安全，請在收到本通知後的7天內前往取貨。逾期未取，您的包裹將被退回，並且需要負擔法律責任。
 
若有任何問題或需要協助，請隨時透過網站上的客服功能與我們聯繫，或撥打客服專線:0800-123-456。我們將竭誠為您服務。
 
再次感謝您選擇我們的網購平台，期待為您提供更多的購物體驗。祝您生活愉快！
 
蟹拚網購平台
客戶服務團隊▼



團長家
",msg_page.html,,
2-1-3,旁白,團長房間_夜.jpg,,"嗯？又是誰訂了東西？
手機也收到了簡訊▼",,團長家,,,
2-1-4,簡訊,團長房間_夜.jpg,txt_214.jpg,,,"團長家
簡訊示意圖內容↓↓
［平台通知］:訂單03124841商品已送達浦雷門市 ，請於4/1日前取貨 ▼",msg_page.html,sms.mp3,
2-1-5,旁白,學校教室-日.jpg,黑幕,算了，明天再說吧。▼,,,,,
2-2,,回家路上.jpg,,,,便利商店(夕),,,
2-2-1,,回家路上.jpg,,"隔天放學。
真難得沒人先跟我講一聲就買東西，又沒人在，剛好發了零用錢，我自己去拿貨吧。▼
到了便利商店。▼",,便利商店(夕),,,
2-2-1-1,,回家路上.jpg,,團長:您好我來拿取貨付款。▼,,,,,
2-2-1-2,,便利商店.jpg,店員.png,"店員:好的，跟您收8000元。 ▼
團長:8000元？你確定沒拿錯嗎？ ▼
店員:麻煩確認一下收件人姓名。▼
真的是我的名字跟電話……▼
團長:不好意思，我錢沒帶夠，可以下次來拿嗎？▼
店員:好的，沒問題。▼",,,,,
2-2-1-3,,便利商店.jpg,,"我心臟跳得好快。▼ 
8000？到底是誰買了這麼貴的東西？
我得趕緊在Line群問清楚……▼",,便利商店(夕),,heart.mp3,
2-2-2,Line群,便利商店.jpg,line_222.gif,,,"便利商店(夕)


團長:各位網拍幫的成員們，我剛收到一個8000元的超貴包裹，這是誰訂的啊？😨
 
子柔:哇，8000元！這個絕對不是我訂的，我只買了一些……漫畫😓
 
阿高:我也不是，我是訂了新的頭帶，沒這麼貴🏀
 
阿哲:等等，在下來看看...不，不是在下的。我的只有一些景品和模型，沒那麼有錢🤔
 
小辛:不是我😷
 
團長:真的很奇怪，大家都說不是自己訂的，那這個包裹是哪裡來的🤔
 
阿高:不管怎樣，要不要先想辦法拿貨🤔
 
團長:不可能，哪來那麼多錢😨
 
團長:既然不是大家的，那我來搞定👍▼
",msg_page.html,email.mp3,
2-2-3,旁白,黑幕,,"反正應該是搞錯了，我決定先不管這事，就當沒發生吧。▼
幾天後，我又收到一封信。▼",,便利商店(夕),,,
2-2-4,Email,團長房間_夜.jpg,mail_224.jpg,,,"團長家

親愛的顧客您好
 
感謝您在我們的網購平台購物。您的商品已經寄至指定的超商取貨點。提醒您，取貨期限快到了，請您盡快前往取件。
 
請注意，若您在取貨期限內未完成取貨，將會留下不良記錄，可能因此取消帳號。此外您將需要承擔相關的法律責任。包括但不限於支付違約金、負擔商品退回運費等。

為了避免這些情況發生，我們強烈建議您在取貨期限內完成取件。
若您有任何疑問或需要協助，請隨時聯繫我們的客服團隊。我們將竭誠為您服務。
 
祝您生活愉快！
 
蟹拚網購平台
客戶服務團隊▼
",msg_page.html,,
2-2-5,旁白,團長房間_夜.jpg,,"我的心裡涼了一大截，看了看手機，也收到了提醒我去取貨的簡訊...... 
怎麼辦......跟家人說嗎？一定會被罵啦......▼
我又跟網拍幫他們說了我會搞定，我不想失去帳號，更不想失去跟他們之間的友誼！
來試試看能不能自己把錢湊出來！▼
我這個月的零用錢......有500元！還差7500！▼
",,原黑幕→ 團長房間_夜.jpg,,sms.mp3,
2-2-5-1,,學校教室-日.jpg,黑幕,這時候該怎麼做呢:▼,"打開自己的存錢筒=>2-2-6
跟班上同學借錢=>2-2-7
考試90分媽媽會給獎勵=>2-2-8",,option.html,,
2-2-6,,學校教室-日.jpg,黑幕,裡面只有1000元...... ▼,(2-3),訊息放置螢幕中間,introduce.html,,
2-2-7,,學校教室-日.jpg,黑幕,努力了一天，只借到了87元... ▼,(2-3),訊息放置螢幕中間,introduce.html,,
2-2-8,,學校教室-日.jpg,黑幕,最近沒有考試...... 而且媽媽的第六感超靈的，肯定會抓包我做虧心事。▼,(2-3),訊息放置螢幕中間,introduce.html,,
2-3,旁白,學校教室-日.jpg,黑幕,"離取貨最後時間僅剩3天。
完蛋了！
怎麼辦！（崩潰）▼",(3-1),訊息放置螢幕中間,introduce.html,dun.mp3,
